,product name,company,original_prices,discount_prices,discount 
73,Solid Men Round Neck Black T-Shirt,FastColors," 1,999", 199,90%  
74,Solid Men Round Neck White T-Shirt,GREY BOX," 1,195", 191,84%  
75,Graphic Print Men Round Neck Blue T-Shirt,PUMA," 1,799", 439,75%  
76,Graphic Print Men Round Neck Black T-Shirt,BLIVE," 1,999", 143,92%  
77,Printed Men Round Neck Grey T-Shirt,TRIPR," 1,399", 143,89%  
78,Checkered Men Polo Neck Blue T-Shirt,EyeBogler," 1,299", 239,81%  
79,Self Design Men Round Neck Black T-Shirt,REEBOK," 1,199", 335,72%  
80,Printed Men Round Neck Red T-Shirt,BLIVE," 1,999", 143,92%  
81,Striped Men Round Neck Dark Blue T-Shirt,Jump Cuts," 1,399", 208,85%  
82,"Checkered Men Polo Neck White, Blue T-Shirt",EyeBogler," 1,299", 248,80%  
83,Solid Men Polo Neck Red T-Shirt,U.S. POLO ASSN.," 1,599", 459,71%  
84,Printed Men Polo Neck Navy Blue T-Shirt,TRIPR," 1,999", 191,90%  
85,Pack of 3 Combo tshirt for men Printed Men Round Neck M...,Bullmer," 1,499", 399,73%  
86,Color Block Men Polo Neck Multicolor T-Shirt,BLIVE," 1,999", 143,92%  
87,Printed Men Round Neck White T-Shirt,PUMA," 1,799", 439,75%  
88,"Color Block Men Round Neck Red, Black T-Shirt",TRIPR," 1,999", 143,92%  
89,TQH Men Dri Fit Polyester Half Sleeve Round Neck White ...,TQH, 999, 143,85%  
90,Striped Men Round Neck Grey T-Shirt,Diversify," 1,499", 255,82%  
91,Solid Men Polo Neck Multicolor T-Shirt,U.S. POLO ASSN.," 1,499", 424,71%  
92,Color Block Men Hooded Neck Maroon T-Shirt,HELMONT, 999, 157,84%  
93,Solid Men Polo Neck Maroon T-Shirt,METRONAUT," 1,599", 303,81%  
94,Nikky Printed Men Round Neck Yellow T-Shirt,NB NICKY BOY, 777, 199,74%  
95,Solid Men Polo Neck Grey T-Shirt,PUMA," 1,299", 311,76%  
96,Printed Men Round Neck Dark Blue T-Shirt,TRIPR," 1,399", 143,89%  
97,Printed Men Round Neck Yellow T-Shirt,BLIVE," 1,999", 143,92%  
98,Solid Men Round Neck Black T-Shirt,GREY BOX," 1,195", 191,84%  
99,Solid Men Polo Neck Black T-Shirt,U.S. POLO ASSN.," 1,699", 494,70%  
100,Printed Men Round Neck Dark Green T-Shirt,Urbano Fashion," 1,099", 285,74%  
101,"Striped Men Round Neck Maroon, Grey T-Shirt",BLIVE, 999, 183,81%  
102,Striped Men Round Neck Blue T-Shirt,EyeBogler," 1,299", 211,83%  
103,RBK VECTOR TEE Color Block Men Round Neck Maroon T-Shir...,REEBOK, 999, 319,68%  
104,Nikky Printed Men Round Neck Yellow T-Shirt,NB NICKY BOY, 777, 199,74%  
105,Pack of 3 Printed Men Round Neck Multicolor T-Shirt,Bullmer," 1,499", 339,77%  
106,"Striped Men Round Neck Reversible Dark Blue, Grey T-Shi...",Jump Cuts, 679, 143,78%  
107,Printed Men Polo Neck Grey T-Shirt,REEBOK," 1,199", 383,68%  
108,Solid Men Polo Neck Navy Blue T-Shirt,EyeBogler," 1,299", 143,88%  
109,Solid Men Polo Neck Green T-Shirt,Allen Solly, 999, 399,60%  
110,Graphic Print Men Round Neck White T-Shirt,BLIVE," 1,999", 143,92%  
111,"Solid Men V Neck Blue, Grey T-Shirt",TRIPR, 899, 143,84%  
112,"Color Block Men Round Neck Dark Green, White, Yellow T-...",TRIPR," 1,999", 143,92%  
113,Solid Men Round Neck Black T-Shirt,FTX, 599, 119,80%  
114,"Printed Men Round Neck Red, White T-Shirt",FastColors," 1,999", 199,90%  
115,Printed Men Crew Neck Blue T-Shirt,PUMA," 1,499", 424,71%  
